Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Sāranga Kāpi,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Sharadapriya,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Shree Navarasachandrika,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
Sindhu Dhanyāsi,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Shuddha Desi,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Shuddha Sālavi,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Sukumāri,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Sushama ,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Sutradhāri,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Tarkshika,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Udayarāga,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Vasantavarāli,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Kīravāṇi,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
Keeranāvali,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
Aymmukhan,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Bhānupriya,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Beethovanapriya ,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
Chandrika,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
Gaganabhoopālam,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Hamsapancama,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Hamsavāhini,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
Jayashree,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
"Kadaram (Chandrakosh, Chandrakauns, Chandrakaush)",1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Kalyāna Vasantam,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Kusumāvali,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Mādhavi,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Mishramanolayam,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Priyadarshani,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Rishipriya,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
Sāmapriya,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Shrothasvini,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Vasanthamanohari,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
Kharaharapriyā,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Shree,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Andolikā,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Abheri,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Abhogi,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Ādi Kāpi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Āryamati,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Agnikopa,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Bālachandrika,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Bageshri,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Bhagavatapriya,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
Bhagavathpriya,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Chakrapradipta,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Darbar,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Dayavati,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Devāmruthavarshani,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Deva Manohari,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Dhanakāpi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Dilipika,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Gowla Kannada,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Hamsa ābheri,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Haridasapriya,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Harinārāyani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Hindustāni Kāpi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Huseni,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1
Jatādhāri,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Jayamanohari,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Jayanārāyani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Jayanthasena,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Kanadā,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Kāpi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Kāpijingala,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Kalānidhi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Kalika,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Kannadagowla,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
Karnātaka Hindolam,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Karnātaka Kāpi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Karnātaka Devagāndhari,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Karnaranjani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Kowmodaki,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Kowshika,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Lalitamanohari,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
